datetime,traffic_volume,Trucks,Cars,Bikes,taxi,Bus,Auto,others,Location
02-10-2012 09:00,5545,166,1774,1663,166,166,1608,2,Rabale
02-10-2012 10:00,4516,135,1445,1354,135,135,1309,3,Rabale
02-10-2012 11:00,4767,143,1525,1430,143,143,1382,1,Rabale
02-10-2012 12:00,5026,150,1608,1507,150,150,1457,4,Rabale
02-10-2012 13:00,4918,147,1573,1475,147,147,1426,3,Rabale
02-10-2012 14:00,5181,155,1657,1554,155,155,1502,3,Rabale
02-10-2012 15:00,5584,167,1786,1675,167,167,1619,3,Rabale
02-10-2012 16:00,6015,180,1924,1804,180,180,1744,3,Rabale
02-10-2012 17:00,5791,173,1853,1737,173,173,1679,3,Rabale
02-10-2012 18:00,4770,143,1526,1431,143,143,1383,1,Rabale
02-10-2012 19:00,3539,106,1132,1061,106,106,1026,2,Rabale
02-10-2012 20:00,2784,83,890,835,83,83,807,3,Rabale
02-10-2012 21:00,2361,70,755,708,70,70,684,4,Rabale
02-10-2012 22:00,1529,45,489,458,45,45,443,4,Rabale
02-10-2012 23:00,963,28,308,288,28,28,279,4,Rabale
03-10-2012 00:00,506,15,161,151,15,15,146,3,Rabale
03-10-2012 01:00,321,9,102,96,9,9,93,3,Rabale
03-10-2012 02:00,273,8,87,81,8,8,79,2,Rabale
03-10-2012 03:00,367,11,117,110,11,11,106,1,Rabale
03-10-2012 04:00,814,24,260,244,24,24,236,2,Rabale
03-10-2012 05:00,2718,81,869,815,81,81,788,3,Rabale
03-10-2012 06:00,5673,170,1815,1701,170,170,1645,2,Rabale
03-10-2012 08:00,6511,195,2083,1953,195,195,1888,2,Rabale
03-10-2012 09:00,5471,164,1750,1641,164,164,1586,2,Rabale
03-10-2012 12:00,5097,152,1631,1529,152,152,1478,3,Rabale
03-10-2012 13:00,4887,146,1563,1466,146,146,1417,3,Rabale
03-10-2012 14:00,5337,160,1707,1601,160,160,1547,2,Rabale
03-10-2012 15:00,5692,170,1821,1707,170,170,1650,4,Rabale
03-10-2012 16:00,6137,184,1963,1841,184,184,1779,2,Rabale
03-10-2012 18:00,4623,138,1479,1386,138,138,1340,4,Rabale
03-10-2012 19:00,3591,107,1149,1077,107,107,1041,3,Rabale
03-10-2012 20:00,2898,86,927,869,86,86,840,4,Rabale
03-10-2012 21:00,2637,79,843,791,79,79,764,2,Rabale
03-10-2012 22:00,1777,53,568,533,53,53,515,2,Rabale
03-10-2012 23:00,1015,30,324,304,30,30,294,3,Rabale
04-10-2012 00:00,598,17,191,179,17,17,173,4,Rabale
04-10-2012 01:00,369,11,118,110,11,11,107,1,Rabale
04-10-2012 02:00,312,9,99,93,9,9,90,3,Rabale
04-10-2012 03:00,367,11,117,110,11,11,106,1,Rabale
04-10-2012 04:00,835,25,267,250,25,25,242,1,Rabale
04-10-2012 05:00,2726,81,872,817,81,81,790,4,Rabale
04-10-2012 06:00,5689,170,1820,1706,170,170,1649,4,Rabale
04-10-2012 07:00,6990,209,2236,2097,209,209,2027,3,Rabale
04-10-2012 08:00,5985,179,1915,1795,179,179,1735,3,Rabale
04-10-2012 09:00,5309,159,1698,1592,159,159,1539,3,Rabale
04-10-2012 10:00,4603,138,1472,1380,138,138,1334,3,Rabale
04-10-2012 11:00,4884,146,1562,1465,146,146,1416,3,Rabale
04-10-2012 12:00,5104,153,1633,1531,153,153,1480,1,Rabale
04-10-2012 13:00,5178,155,1656,1553,155,155,1501,3,Rabale
04-10-2012 14:00,5501,165,1760,1650,165,165,1595,1,Rabale
04-10-2012 15:00,5713,171,1828,1713,171,171,1656,3,Rabale
04-10-2012 16:00,6292,188,2013,1887,188,188,1824,4,Rabale
04-10-2012 17:00,6057,181,1938,1817,181,181,1756,3,Rabale
04-10-2012 18:00,4907,147,1570,1472,147,147,1423,1,Rabale
04-10-2012 19:00,3503,105,1120,1050,105,105,1015,3,Rabale
04-10-2012 20:00,3037,91,971,911,91,91,880,2,Rabale
04-10-2012 21:00,2822,84,903,846,84,84,818,3,Rabale
04-10-2012 22:00,1992,59,637,597,59,59,577,4,Rabale
04-10-2012 23:00,1166,34,373,349,34,34,338,4,Rabale
05-10-2012 00:00,627,18,200,188,18,18,181,4,Rabale
05-10-2012 01:00,388,11,124,116,11,11,112,3,Rabale
05-10-2012 03:00,368,11,117,110,11,11,106,2,Rabale
05-10-2012 05:00,2489,74,796,746,74,74,721,4,Rabale
05-10-2012 06:00,5537,166,1771,1661,166,166,1605,2,Rabale
05-10-2012 07:00,6628,198,2120,1988,198,198,1922,4,Rabale
05-10-2012 08:00,5534,166,1770,1660,166,166,1604,2,Rabale
05-10-2012 09:00,5403,162,1728,1620,162,162,1566,3,Rabale
05-10-2012 10:00,4770,143,1526,1431,143,143,1383,1,Rabale
05-10-2012 11:00,5217,156,1669,1565,156,156,1512,3,Rabale
05-10-2012 12:00,5870,176,1878,1761,176,176,1702,1,Rabale
05-10-2012 13:00,5967,179,1909,1790,179,179,1730,1,Rabale
05-10-2012 14:00,6108,183,1954,1832,183,183,1771,2,Rabale
05-10-2012 15:00,6128,183,1960,1838,183,183,1777,4,Rabale
05-10-2012 16:00,6069,182,1942,1820,182,182,1760,1,Rabale
05-10-2012 17:00,6169,185,1974,1850,185,185,1789,1,Rabale
05-10-2012 18:00,5384,161,1722,1615,161,161,1561,3,Rabale
05-10-2012 19:00,4063,121,1300,1218,121,121,1178,4,Rabale
05-10-2012 20:00,3364,100,1076,1009,100,100,975,4,Rabale
05-10-2012 21:00,2971,89,950,891,89,89,861,2,Rabale
05-10-2012 22:00,2450,73,784,735,73,73,710,2,Rabale
05-10-2012 23:00,1832,54,586,549,54,54,531,4,Rabale
06-10-2012 00:00,1231,36,393,369,36,36,356,5,Rabale
06-10-2012 01:00,718,21,229,215,21,21,208,3,Rabale
06-10-2012 02:00,545,16,174,163,16,16,158,2,Rabale
06-10-2012 04:00,411,12,131,123,12,12,119,2,Rabale
06-10-2012 05:00,688,20,220,206,20,20,199,3,Rabale
06-10-2012 06:00,1352,40,432,405,40,40,392,3,Rabale
06-10-2012 07:00,2072,62,663,621,62,62,600,2,Rabale
06-10-2012 08:00,3342,100,1069,1002,100,100,969,2,Rabale
06-10-2012 09:00,4258,127,1362,1277,127,127,1234,4,Rabale
06-10-2012 10:00,4861,145,1555,1458,145,145,1409,4,Rabale
06-10-2012 11:00,5191,155,1661,1557,155,155,1505,3,Rabale
06-10-2012 12:00,5669,170,1814,1700,170,170,1644,1,Rabale
06-10-2012 13:00,5074,152,1623,1522,152,152,1471,2,Rabale
06-10-2012 14:00,5025,150,1608,1507,150,150,1457,3,Rabale
06-10-2012 15:00,5153,154,1648,1545,154,154,1494,4,Rabale
06-10-2012 16:00,5024,150,1607,1507,150,150,1456,4,Rabale
06-10-2012 17:00,4779,143,1529,1433,143,143,1385,3,Rabale
06-10-2012 18:00,4362,130,1395,1308,130,130,1264,5,Rabale
06-10-2012 19:00,3860,115,1235,1158,115,115,1119,3,Rabale
06-10-2012 20:00,3160,94,1011,948,94,94,916,3,Rabale
06-10-2012 21:00,2992,89,957,897,89,89,867,4,Rabale
06-10-2012 22:00,3202,96,1024,960,96,96,928,2,Rabale
06-10-2012 23:00,1941,58,621,582,58,58,562,2,Rabale
07-10-2012 00:00,1233,36,394,369,36,36,357,5,Rabale
07-10-2012 03:00,323,9,103,96,9,9,93,4,Rabale
07-10-2012 04:00,312,9,99,93,9,9,90,3,Rabale
07-10-2012 05:00,627,18,200,188,18,18,181,4,Rabale
07-10-2012 06:00,1508,45,482,452,45,45,437,2,Rabale
07-10-2012 07:00,1539,46,492,461,46,46,446,2,Rabale
07-10-2012 08:00,2232,66,714,669,66,66,647,4,Rabale
07-10-2012 09:00,4568,137,1461,1370,137,137,1324,2,Rabale
07-10-2012 10:00,4624,138,1479,1387,138,138,1340,4,Rabale
07-10-2012 11:00,4529,135,1449,1358,135,135,1313,4,Rabale
07-10-2012 12:00,5139,154,1644,1541,154,154,1490,2,Rabale
07-10-2012 13:00,6640,199,2124,1992,199,199,1925,2,Rabale
07-10-2012 14:00,6589,197,2108,1976,197,197,1910,4,Rabale
07-10-2012 15:00,4429,132,1417,1328,132,132,1284,4,Rabale
07-10-2012 16:00,4329,129,1385,1298,129,129,1255,4,Rabale
07-10-2012 17:00,3833,114,1226,1149,114,114,1111,5,Rabale
07-10-2012 18:00,4015,120,1284,1204,120,120,1164,3,Rabale
07-10-2012 19:00,3382,101,1082,1014,101,101,980,3,Rabale
07-10-2012 20:00,2815,84,900,844,84,84,816,3,Rabale
07-10-2012 21:00,2110,63,675,633,63,63,611,2,Rabale
07-10-2012 22:00,1555,46,497,466,46,46,450,4,Rabale
